"recipient_uei","IHE","recipient_name","recipient_name_raw","recipient_parent_name","recipient_parent_uei","recipient_city_name","recipient_state_code","prime_award_base_transaction_description","total_obligated_amount","period_of_performance_start_date","period_of_performance_end_date","period_of_performance_potential_end_date","primary_place_of_performance_country_name","generated_unique_award_id","award_type"
"FL6GV84CKN57","","YALE UNIV","YALE UNIVERSITY","YALE UNIV","FL6GV84CKN57","NEW HAVEN","CT","PAYDASH: IMPROVING LAST-MILE ACCESS TO INFORMATION ON SOCIAL PROGRAM DELIVERY",635000,"2021-08-02","2025-08-01",NA,"INDIA","ASST_NON_7200AA21FA00014_7200","PROJECT GRANT (B)"
"FL6GV84CKN57","","YALE UNIV","YALE UNIVERSITY","YALE UNIV","FL6GV84CKN57","NEW HAVEN","CT","EVALUATING THE LIVELY MINDS EARLY CHILDHOOD CARE AND EDUCATION PROGRAM IN GHANA.",1500000,"2021-09-03","2025-09-02",NA,"GHANA","ASST_NON_7200AA21FA00016_7200","PROJECT GRANT (B)"
"CFMMM5JM7HJ9","","KANSAS STATE UNIVERSITY","KANSAS STATE UNIVERSITY","KANSAS STATE UNIVERSITY","NJN6EFNKVKT4","MANHATTAN","KS","THE GOAL OF THIS INITIATIVE IS TO CREATE REGIONAL INNOVATION HUBS IN THE FEED THE FUTURE TARGET AND RESILIENCE FOCUS   COUNTRIES THAT WILL FOSTER PRIVATE SECTOR INNOVATION, AGRICULTURAL RESEARCH, EDUCATION, EXTENSION AND TRAINING, AND   PUBLIC-SECTOR CAPACITY BUILDING THROUGH IMPROVED COLLABORATION, COMMUNICATION AND KNOWLEDGE SHARING ON ASPECTS   RELATED TO CLIMATE SMART AGRICULTURE (CSA) AND FOOD AND NUTRITIONAL SECURITY IN THE VARIOUS REGIONS.",4341184,"2021-09-24","2026-09-23",NA,"UNITED STATES","ASST_NON_7200AA21LA00005_7200","COOPERATIVE AGREEMENT (B)"
"C1F5LNUF7W86","","TRUSTEES OF TUFTS COLLEGE","TRUSTEES OF TUFTS COLLEGE","TRUSTEES OF TUFTS COLLEGE","WL9FLBRVPJJ7","BOSTON","MA","FEED THE FUTURE FOOD SYSTEMS FOR NUTRITION INNOVATION LAB",16450230,"2021-09-10","2026-09-09",NA,"UNITED STATES","ASST_NON_7200AA21LE00001_7200","COOPERATIVE AGREEMENT (B)"
"TX2DAGQPENZ5","","UNIVERSITY OF CALIFORNIA, DAVIS","UNIVERSITY OF CALIFORNIA, DAVIS","STATE OF CALIFORNIA CONTROLLERS OFFICE","NUDGYLBB4S99","DAVIS","CA","FEED THE FUTURE INNOVATION LAB FOR HORTICULTURE",13453000,"2021-09-30","2026-09-29",NA,"UNITED STATES","ASST_NON_7200AA21LE00003_7200","COOPERATIVE AGREEMENT (B)"
"NPM2J7MSCF61","","THE PENNSYLVANIA STATE UNIVERSITY","PENNSYLVANIA STATE UNIVERSITY, THE","THE PENNSYLVANIA STATE UNIVERSITY","NPM2J7MSCF61","UNIVERSITY PARK","PA","FEED THE FUTURE INNOVATION LAB FOR CURRENT AND EMERGING THREATS TO CROPS.",15081250,"2021-09-30","2026-09-29",NA,"UNITED STATES","ASST_NON_7200AA21LE00005_7200","COOPERATIVE AGREEMENT (B)"
"UYTTZT6G9DT1","","UNIVERSITY OF CALIFORNIA, SAN DIEGO","UNIVERSITY OF CALIFORNIA, SAN DIEGO","STATE OF CALIFORNIA CONTROLLERS OFFICE","NUDGYLBB4S99","LA JOLLA","CA","TO ADDRESS THREE PRIMARY AREAS OF FOCUS: 1) EVIDENCE GENERATION; 2) MEASUREMENT, MONITORING AND ADAPTIVE   MANAGEMENT; AND 3) RESEARCH UTILIZATION",24399546,"2022-03-02","2027-03-01",NA,"UNITED STATES","ASST_NON_7200AA22CA00003_7200","COOPERATIVE AGREEMENT (B)"
"KBYBVDNFHC36","","KENNESAW STATE UNIVERSITY","KENNESAW STATE UNIVERSITY","BOARD OF REGENTS OF THE UNIVERSITY SYSTEM OF GEORGIA","SMV4HJLNJLP3","KENNESAW","GA","HOPE FOR A BETTER FUTURE: BUILDING COLLABORATIVE RESILIENCE FOR YOUTH IN LIBERIA - BAA FOR LLDI, ADDENDUM 1: NEW AWARD",1999627,"2022-07-08","2027-07-07",NA,"LIBERIA","ASST_NON_7200AA22CA00004_7200","COOPERATIVE AGREEMENT (B)"
"FTMTDMBR29C7","","THE JOHNS HOPKINS UNIVERSITY","JOHNS HOPKINS UNIVERSITY, THE","THE JOHNS HOPKINS UNIVERSITY","FTMTDMBR29C7","BALTIMORE","MD","THE PROJECT WILL DEVELOP EFFECTIVE NEW TOOLS AND APPROACHES TO FIND, TREAT AND PREVENT TB, AS WELL AS TESTING NOVEL   STRATEGIES FOR IMPLEMENTING THE DELIVERY OF NEW DRUGS AND DIAGNOSTIC PRODUCTS IN REAL-WORLD, LOW RESOURCE SETTINGS.",57250000,"2022-08-01","2027-07-31",NA,"UNITED STATES","ASST_NON_7200AA22CA00005_7200","COOPERATIVE AGREEMENT (B)"
"NNFQH1JAPEP3","","UNIVERSITY OF FLORIDA","UNIVERSITY OF FLORIDA","BOARD OF GOVERNERS STATE UNIVERSITY SYSTEM OF FLORIDA","D4GCCCMXR1H3","GAINESVILLE","FL","MOTOMEDS: PROVIDING ESSENTIAL NIGHTTIME HEALTHCARE TO CHILDREN",199646,"2022-06-16","2025-06-15",NA,"GHANA","ASST_NON_7200AA22FA00011_7200","PROJECT GRANT (B)"
"TF2CMKY1HMX9","","GEORGETOWN UNIVERSITY","GEORGETOWN UNIVERSITY","THE GEORGETOWN UNIVERSITY","ZFHYYLPJW7Q1","WASHINGTON","DC","NEW FAA TO GEORGETOWN UNIVERSITY - SUPPORTING TEACHER ACHIEVEMENT IN RWANDAN SCHOOLS (STARS)",1510000,"2022-08-25","2025-08-24",NA,"RWANDA","ASST_NON_7200AA22FA00018_7200","PROJECT GRANT (B)"
"FL6GV84CKN57","","YALE UNIV","YALE UNIVERSITY","YALE UNIV","FL6GV84CKN57","NEW HAVEN","CT","A TOUGH CALL: IMPACTS OF MOBILE TECHNOLOGY ON WORK, GENDER GAPS, AND NORMS",600000,"2022-09-16","2025-09-15",NA,"INDIA","ASST_NON_7200AA22FA00027_7200","PROJECT GRANT (B)"
"LN53LCFJFL45","","PRESIDENT AND FELLOWS OF HARVARD COLLEGE","PRESIDENT AND FELLOWS OF HARVARD COLLEGE",NA,NA,"CAMBRIDGE","MA","BUILDING LOCAL STATE CAPACITY: EVIDENCE FROM TECHNOLOGY INVESTMENTS IN GHANA",871178,"2022-09-01","2025-08-31",NA,"GHANA","ASST_NON_7200AA22FA00039_7200","PROJECT GRANT (B)"
