recipient_uei,IHE,recipient_name,recipient_name_raw,recipient_parent_name,recipient_parent_uei,recipient_city_name,recipient_state_code,prime_award_base_transaction_description,total_obligated_amount,period_of_performance_start_date,period_of_performance_end_date,period_of_performance_potential_end_date,primary_place_of_performance_country_name,generated_unique_award_id,award_type
CQ53G11GCDF4,N,"WATER, SANITATION AND HYGIENE INSTITUTE","WATER, SANITATION AND HYGIENE INSTITUTE (WASH INSTITUTE)",NA,NA,NA,NA,NEW FAA TO WASH TO DEVELOP AND SCALE THEIR MOBILE TREATMENT UNIT (MTU) TECHNOLOGY IN INDIA.,500000,9/6/22,9/5/25,NA,INDIA,ASST_NON_7200AA22FA00030_7200,PROJECT GRANT (B)
QXGDULYS67W1,N,THE ENERGY AND RESOURCES INSTITUTE,THE ENERGY AND RESOURCES INSTITUTE,THE ENERGY AND RESOURCES INSTITUTE,QXGDULYS67W1,NA,NA,SENSOR CONTROLLED RIVERBANK FILTRATION - RAIN IRRIGATION SYSTEM  (SC-RBF),197000,9/15/22,9/14/25,NA,INDIA,ASST_NON_7200AA22FA00031_7200,PROJECT GRANT (B)
KZ2UGRDKFNJ6,N,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,KZ2UGRDKFNJ6,NORTH LITTLE ROCK,AR,"THE USAID FTF-FUNDED FARMER-TO-FARMER (F2F) PROGRAM WAS FIRST AUTHORIZED BY THE U.S. CONGRESS IN 1985 TO PROVIDE FOR THE TRANSFER OF KNOWLEDGE AND EXPERTISE OF U.S. AGRICULTURAL PRODUCERS AND BUSINESSES ON A VOLUNTARY BASIS TO MIDDLE-INCOME COUNTRIES AND EMERGING DEMOCRACIES. THE F2F PROGRAM WAS DESIGNED TO PROVIDE TECHNICAL SERVICES TO ENHANCE SUSTAINABLE ECONOMIC DEVELOPMENT, OFFER OPPORTUNITIES FOR KNOWLEDGE EXCHANGE, AND BROADEN THE PARTICIPATION OF THE RURAL POOR IN ESTABLISHED COMMODITY VALUE CHAINS AS PRODUCERS AND SERVICE PROVIDERS. THE PROPOSED ""ENABLING FARMERS FOR AGRICULTURAL TRANSFORMATION (EFAT)"" ACTIVITY IS CONSISTENT WITH THE OVERALL GOALS OF THE F2F PROGRAM, WITH THE GOAL OF INCREASING RURAL PRODUCTIVITY AND RESILIENCE. EFAT IS DESIGNED AS AN EXTENSION-FOCUSED CENTRALLY-FUNDED AWARD WITH OPTIONS FOR MISSION BUY-IN. THE ACTIVITY LEVERAGES THE ADVISORY SERVICE EXPERTISE AND THE GEOGRAPHIC REACH OF THE FARMER-TO-FARMER (F2F) PROGRAM THROUGH AN ASSOCIATE AWARD TO ONE OF THE LEADER WITH ASSOCIATES HOLDERS.",4880223,10/1/22,9/30/27,NA,SENEGAL,ASST_NON_7200AA22LA00001_7200,COOPERATIVE AGREEMENT (B)
THLMFMXSXTC4,N,THE INFECTIOUS DISEASES INSTITUTE LIMITED,THE INFECTIOUS DISEASES INSTITUTE LIMITED,NA,NA,NA,NA,"THE PURPOSE OF THIS AWARD IS TO PROVIDE SUPPORT FOR THE IMPLEMENTATION OF THE TB LON MENTAL HEALTH-AFRICA IN   UGANDA, SOUTH AFRICA, ZIMBABWE AND TANZANIA FOR A PERIOD OF THREE YEARS.  THE OVERALL GOAL OF THE TB LON MENTAL HEALTH-AFRICA PROJECT IS TO DEVELOP EVIDENCE-BASED AND CULTURALLY ACCEPTABLE   TOOLS FOR INTEGRATION OF MENTAL HEALTH INTO TB SERVICES IN THE AFRICAN REGION AND TO ESTABLISH THE FEASIBILITY AND   ACCEPTABILITY OF USING THESE TOOLS WITHIN A PROPOSED FRAMEWORK FOR CARE-DELIVERY.",900000,7/24/23,7/23/26,NA,UGANDA,ASST_NON_7200AA23CA00005_7200,COOPERATIVE AGREEMENT (B)
GN36K2UPR245,N,NATIONAL DEMOCRATIC INSTITUTE FOR INTERNATIONAL AFFAIRS,NATIONAL DEMOCRATIC INSTITUTE FOR INTERNATIONAL AFFAIRS,NATIONAL DEMOCRATIC INSTITUTE FOR INTERNATIONAL AFFAIRS,NA,WASHINGTON,DC,ADVANCING DEMOCRACY,2950000,10/1/23,9/30/28,NA,VENEZUELA,ASST_NON_7200AA23CA00017_7200,COOPERATIVE AGREEMENT (B)
JJHCMK4NT5N3,N,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,JJHCMK4NT5N3,RESEARCH TRIANGLE PARK,NC,"WITH THIS ACTIVITY, USAID SEEKS TO ADVANCE NUTRITION MONITORING, EVALUATION, RESEARCH, RESEARCH TRANSLATION, AND   LEARNING TO IMPROVE THE NUTRITIONAL STATUS OF WOMEN AND CHILDREN. THE NEW ACTIVITY WILL FILL EVIDENCE GAPS TO IMPROVE   NUTRITION OUTCOMES THROUGH HEALTH SYSTEMS WHILE ENSURING LOCAL PARTNERS DESIGN, IMPLEMENT, DISSEMINATE, AND USE   SUCH EVIDENCE FOR POLICIES AND PROGRAMS.",8816043,10/1/23,9/30/28,NA,UNITED STATES,ASST_NON_7200AA23CA00021_7200,COOPERATIVE AGREEMENT (B)
EUKNN2GGF514,N,WORLD RESOURCES INSTITUTE,WORLD RESOURCES INSTITUTE,WORLD RESOURCES INSTITUTE,NA,WASHINGTON,DC,THE NATURE CRIME CONSORTIUM: A CONVERGENCE-ORIENTED APPROACH (NC),9242000,9/25/23,9/24/28,NA,UNITED STATES,ASST_NON_7200AA23CA00027_7200,COOPERATIVE AGREEMENT (B)
GFWZUE7H7X38,N,SISTER SCHOOLS,SISTER SCHOOLS,NA,NA,EVERETT,WA,OCEAN FREIGHT - FISCAL YEAR 2024 OCEAN FREIGHT - 2024/2025,4765,10/1/23,9/30/25,NA,HAITI,ASST_NON_7200AA23GR00047_7200,PROJECT GRANT (B)
KZ2UGRDKFNJ6,N,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,NA,NORTH LITTLE ROCK,AR,USAID F2F PROGRAM PROVIDES HIGHLY-QUALIFIED VOLUNTEER TECHNICAL ASSISTANCE IN TARGET COUNTRIES TO ADDRESS   AGRICULTURAL SECTOR CONSTRAINTS AND OPPORTUNITIES.,3054256,10/1/23,9/29/28,NA,UNITED STATES,ASST_NON_7200AA23LE00010_7200,COOPERATIVE AGREEMENT (B)
G3XNCEEELQN3,N,INSTITUTE OF INTERNATIONAL EDUCATION INC,INSTITUTE OF INTERNATIONAL EDUCATION INC,INSTITUTE OF INTERNATIONAL EDUCATION INC,G3XNCEEELQN3,NEW YORK,NY,"ITR/R SOUGHT AN IMPLEMENTING PARTNER TO SOURCE, SUPPORT, AND FUND RESEARCH PARTNERSHIPS BETWEEN LOW- AND   MIDDLE-INCOME COUNTRY (LMIC) RESEARCH INSTITUTIONS AND U.S.-BASED INSTITUTIONS ON TOPICS IMPORTANT TO   GLOBAL DEVELOPMENT.",2922129,9/26/24,9/25/29,NA,UNITED STATES,ASST_NON_7200AA24CA00006_7200,COOPERATIVE AGREEMENT (B)
